Location,Year,time,Plot #,Rep,Cov_Wood,Cov_Litter,Cov_BG,Cov_Veg,Cov_Feces,HT1_Wood,HT1_Litter,HT1_Veg,HT1,HT2_Wood,HT2_Litter,HT2_Veg,HT2,HT3_Wood,HT3_Litter,HT3_Veg,HT3,HT4_Wood,HT4_Litter,HT4_Veg,HT4
Lake Morena,2018,postgoat,25,5,20,99,0.5,0.5,N/A,,,,1,,,,130,,,,2,,,,180
Lake Morena,2018,postgoat,25,10,30,85,1,4,N/A,,,,78,,,,70,,,,0,,,,62
Lake Morena,2018,postgoat,25,15,3,95,2,80,N/A,,,,99,,,,180,,,,140,,,,191
Lake Morena,2018,postgoat,25,20,2,98,0,12,N/A,,,,2,,,,0,,,,1,,,,159
Lake Morena,2018,postgoat,25,25,5,99,0,85,N/A,,,,250,,,,220,,,,277,,,,265
Lake Morena,2018,postgoat,26,5,10,82,10,35,N/A,,,,123,,,,210,,,,1,,,,200
Lake Morena,2018,postgoat,26,10,5,5,93,1.5,N/A,,,,121,,,,2,,,,0,,,,121
Lake Morena,2018,postgoat,26,15,7,95,0,90,N/A,,,,163,,,,142,,,,199,,,,189
Lake Morena,2018,postgoat,26,20,20,90,0,93,N/A,,,,210,,,,285,,,,210,,,,285
Lake Morena,2018,postgoat,26,25,4,98,0,91,N/A,,,,250,,,,400,,,,290,,,,230
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
